id,customer_id,product_id,quantity,order_date,revenue
258,32,7,3,2026-01-17,179.97
259,45,6,2,2026-08-16,17.98
260,29,4,3,2026-02-20,149.97
261,44,6,3,2026-02-01,26.97
262,26,5,2,2026-03-04,69.98
263,30,2,2,2026-01-11,59.98
264,4,6,2,2026-03-06,17.98
265,37,4,1,2026-04-17,49.99
266,38,4,2,2026-06-18,99.98
267,50,3,1,2026-05-22,79.99
268,10,3,3,2026-03-31,239.97
269,8,1,2,2026-01-08,79.98
270,23,4,3,2026-01-09,149.97
271,12,5,1,2026-03-06,34.99
272,48,7,1,2026-02-02,59.99
273,31,8,3,2026-09-20,569.97
274,38,2,4,2026-09-15,119.96
275,15,1,3,2026-08-23,119.97
276,42,1,1,2026-09-03,39.99
277,26,7,1,2026-09-09,59.99
278,46,8,1,2026-02-11,189.99
279,21,3,1,2026-03-06,79.99
280,18,6,4,2026-05-31,35.96
281,30,7,1,2026-02-28,59.99
282,42,4,4,2026-08-20,199.96
283,15,7,3,2026-08-21,179.97
284,26,7,1,2026-06-10,59.99
285,28,6,3,2026-07-11,26.97
286,10,8,1,2026-02-16,189.99
287,6,2,4,2026-02-19,119.96
288,48,6,2,2026-01-31,17.98
289,38,6,1,2026-07-30,8.99
290,23,7,1,2026-05-28,59.99
291,39,5,3,2026-02-23,104.97
292,37,4,2,2026-09-04,99.98
293,15,2,3,2026-07-08,89.97
294,8,5,2,2026-08-08,69.98
295,36,1,3,2026-01-15,119.97
296,12,5,3,2026-06-23,104.97
297,23,1,2,2026-03-15,79.98
298,37,7,1,2026-03-14,59.99
299,48,1,1,2026-04-21,39.99
300,25,7,4,2026-06-24,239.96
301,11,6,3,2026-06-16,26.97
302,50,2,1,2026-03-21,29.99
303,11,1,1,2026-05-20,39.99
304,29,7,4,2026-08-15,239.96
305,27,5,2,2026-09-20,69.98
306,8,6,4,2026-02-26,35.96
307,19,8,3,2026-01-24,569.97
308,15,7,1,2026-01-04,59.99
309,14,5,2,2026-03-12,69.98
310,49,5,3,2026-06-17,104.97
311,8,1,4,2026-08-09,159.96
312,12,3,4,2026-04-28,319.96
313,33,6,1,2026-07-23,8.99
314,48,1,4,2026-01-10,159.96
315,30,2,3,2026-08-08,89.97
316,37,7,4,2026-05-29,239.96
317,8,7,1,2026-06-16,59.99
318,11,8,3,2026-02-15,569.97
319,28,2,2,2026-08-12,59.98
320,38,7,1,2026-07-22,59.99
321,20,6,2,2026-06-20,17.98
322,50,3,1,2026-09-19,79.99
323,41,2,2,2026-06-28,59.98
324,23,3,2,2026-02-22,159.98
325,10,5,2,2026-03-30,69.98
326,39,3,1,2026-04-01,79.99
327,50,8,4,2026-08-18,759.96
328,44,6,3,2026-03-19,26.97
329,29,2,4,2026-08-15,119.96
330,41,5,3,2026-01-29,104.97
331,23,2,3,2026-08-25,89.97
332,29,1,1,2026-07-08,39.99
333,19,2,1,2026-09-17,29.99
334,25,8,1,2026-08-19,189.99
335,37,4,3,2026-09-01,149.97
336,33,3,1,2026-08-19,79.99
337,7,6,1,2026-09-16,8.99
338,42,3,1,2026-05-07,79.99
339,46,8,4,2026-03-23,759.96
340,24,6,3,2026-07-18,26.97
341,27,6,1,2026-06-21,8.99
342,5,6,1,2026-07-17,8.99
343,19,5,2,2026-06-20,69.98
344,6,3,3,2026-06-08,239.97
345,42,7,2,2026-02-13,119.98
346,20,7,3,2026-03-07,179.97
347,43,2,4,2026-09-18,119.96
348,24,1,3,2026-06-08,119.97
349,12,4,3,2026-09-06,149.97
350,13,4,2,2026-03-21,99.98
351,5,5,1,2026-09-17,34.99
352,50,1,3,2026-03-09,119.97
353,39,7,2,2026-03-25,119.98
354,12,3,4,2026-01-23,319.96
355,27,6,2,2026-08-16,17.98
356,40,5,4,2026-04-30,139.96
357,35,4,3,2026-08-29,149.97
358,13,6,4,2026-08-25,35.96
359,50,5,4,2026-09-15,139.96
360,34,7,2,2026-04-13,119.98
361,39,3,3,2026-01-27,239.97
362,42,8,3,2026-02-22,569.97
363,46,2,3,2026-02-12,89.97
364,49,3,3,2026-08-19,239.97
365,33,3,4,2026-02-16,319.96
366,15,8,3,2026-01-14,569.97
367,27,1,4,2026-09-15,159.96
368,24,4,4,2026-02-11,199.96
369,24,4,1,2026-06-13,49.99
370,7,6,2,2026-03-12,17.98
371,3,5,4,2026-03-13,139.96
372,49,8,4,2026-01-03,759.96
373,6,1,3,2026-04-21,119.97
374,10,7,1,2026-05-28,59.99
375,16,5,1,2026-01-25,34.99
376,16,7,4,2026-02-02,239.96
377,8,8,1,2026-09-21,189.99
378,37,4,2,2026-05-30,99.98
379,28,1,3,2026-05-04,119.97
380,37,7,2,2026-02-13,119.98
381,34,6,1,2026-09-17,8.99
382,33,1,4,2026-08-29,159.96
383,3,7,3,2026-05-10,179.97
384,48,1,3,2026-02-04,119.97
385,23,4,1,2026-06-20,49.99
386,9,1,3,2026-06-23,119.97
387,42,3,4,2026-09-03,319.96
388,41,3,2,2026-02-02,159.98
389,46,8,1,2026-05-31,189.99
390,13,1,2,2026-01-22,79.98
391,21,5,4,2026-08-31,139.96
392,17,1,2,2026-05-27,79.98
393,23,1,3,2026-05-20,119.97
394,8,6,4,2026-07-24,35.96
395,48,8,4,2026-06-23,759.96
396,12,8,4,2026-07-08,759.96
397,34,5,1,2026-08-06,34.99
398,6,7,2,2026-05-31,119.98
399,21,2,1,2026-06-17,29.99
400,43,5,3,2026-08-17,104.97
